State,Year,Total_Amount
lakshadweep,2018,236861333.87322998
lakshadweep,2019,545304611.2875443
lakshadweep,2020,1146088194.671875
lakshadweep,2021,2019186354.1445312
andaman-&-nicobar-islands,2018,2647065429.1552734
lakshadweep,2022,2985680867.9960938
ladakh,2018,3912742050.0
lakshadweep,2023,5567349732.0
mizoram,2018,6100685140.484375
andaman-&-nicobar-islands,2019,6628506626.328125
lakshadweep,2024,10030019720.0
meghalaya,2018,10229719604.125
sikkim,2018,11571918607.265625
nagaland,2018,12055927203.796875
ladakh,2019,14951080009.140625
mizoram,2019,15591251968.03125
arunachal-pradesh,2018,15779735500.539062
andaman-&-nicobar-islands,2020,18149927471.15625
manipur,2018,19183789733.9375
tripura,2018,20350674263.5
puducherry,2018,20929675316.8125
dadra-&-nagar-haveli-&-daman-&-diu,2018,22177671376.0
meghalaya,2019,31452729162.914062
nagaland,2019,34265027562.828125
mizoram,2020,35612321788.3125
goa,2018,37080856823.0625
ladakh,2020,39884370774.5
sikkim,2019,45613593662.21875
manipur,2019,48259927946.78125
arunachal-pradesh,2019,48521538844.46094
tripura,2019,53640916008.3125
dadra-&-nagar-haveli-&-daman-&-diu,2019,53982932380.125
andaman-&-nicobar-islands,2021,68956831333.25
chandigarh,2018,69672465492.0
meghalaya,2020,74412401470.75
sikkim,2020,75996167127.78125
mizoram,2021,76557521089.0
puducherry,2019,77149190882.75
himachal-pradesh,2018,86621466018.5
ladakh,2021,94894782711.75
nagaland,2020,95412641149.4375
dadra-&-nagar-haveli-&-daman-&-diu,2020,99336162186.625
mizoram,2022,111055312022.375
goa,2019,111874253675.1875
tripura,2020,124346672905.0
arunachal-pradesh,2020,131441491629.875
meghalaya,2021,152136580816.5
sikkim,2021,165601624517.0
ladakh,2022,168952502423.25
andaman-&-nicobar-islands,2022,169543592849.75
chandigarh,2019,175158818191.0
puducherry,2020,177714806215.625
mizoram,2023,179121597774.0
assam,2018,184905664650.0
jammu-&-kashmir,2018,185583980645.0
uttarakhand,2018,189968042355.0
nagaland,2021,212663436426.0
mizoram,2024,221390757322.0
goa,2020,222069730559.25
dadra-&-nagar-haveli-&-daman-&-diu,2021,223931118836.25
manipur,2020,224220181629.0625
tripura,2021,233303829885.0
jammu-&-kashmir,2019,248162663422.1875
kerala,2018,271039780501.0
chandigarh,2020,282940577276.0
arunachal-pradesh,2021,292485751757.5
andaman-&-nicobar-islands,2023,293062313194.0
himachal-pradesh,2019,295407666813.0
sikkim,2022,302397243589.0
chhattisgarh,2018,309848642089.0
manipur,2023,328412735630.0
nagaland,2022,330674451633.75
punjab,2018,354383397340.0
jharkhand,2018,363989500616.0
ladakh,2023,367271586458.0
meghalaya,2022,399611410226.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,403374941256.0
andaman-&-nicobar-islands,2024,430356105676.0
puducherry,2021,441724784851.0
sikkim,2023,448570700074.0
tripura,2022,451176952226.0
nagaland,2023,477773412676.0
arunachal-pradesh,2022,499376875452.0
manipur,2021,532356287078.0
uttarakhand,2019,533047203209.5
jammu-&-kashmir,2020,539859987275.0
ladakh,2024,556057646942.0
himachal-pradesh,2020,559460705653.5
chandigarh,2021,590849852922.0
manipur,2024,614238793798.0
sikkim,2024,615484380084.0
meghalaya,2023,650286546378.0
goa,2021,656260911418.0
assam,2019,660652938568.0
nagaland,2024,662175400390.0
puducherry,2022,670022392942.0
chandigarh,2023,825262332328.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,826262567046.0
tripura,2023,829871470358.0
odisha,2018,834964576824.0
haryana,2018,838319188532.0
manipur,2022,841047176018.0
kerala,2019,851865556353.0
gujarat,2018,874132833616.0
puducherry,2023,883093726466.0
bihar,2018,953199675120.0
meghalaya,2024,957485243302.0
chandigarh,2024,1024236138814.0
puducherry,2024,1051804446336.0
chhattisgarh,2019,1070915431320.0
himachal-pradesh,2021,1092877296490.0
tripura,2024,1095477210758.0
chandigarh,2022,1132572047404.0
arunachal-pradesh,2023,1140390540842.0
jharkhand,2019,1146091259152.0
madhya-pradesh,2018,1157254504728.0
punjab,2019,1191188585909.0
dadra-&-nagar-haveli-&-daman-&-diu,2024,1195012601356.0
uttarakhand,2020,1206079230188.0
rajasthan,2018,1210093262532.0
goa,2022,1220642290672.0
delhi,2018,1340591130032.0
tamil-nadu,2018,1456273934780.0
jammu-&-kashmir,2021,1546675034548.0
assam,2020,1546898246733.0
west-bengal,2018,1562242019072.0
telangana,2018,1650104248688.0
andhra-pradesh,2018,1709008194880.0
arunachal-pradesh,2024,1714093369058.0
uttar-pradesh,2018,1844766466816.0
himachal-pradesh,2022,1951427547188.0
kerala,2020,2089703949172.0
goa,2023,2172408341964.0
punjab,2020,2177802725462.0
jammu-&-kashmir,2022,2305534066976.0
