State,Year,Quater,Total_Amount
andaman-&-nicobar-islands,2018,1,175581131.2265625
andaman-&-nicobar-islands,2018,2,340062435.28125
andaman-&-nicobar-islands,2018,3,666689637.2636719
andaman-&-nicobar-islands,2018,4,1086580021.21875
andaman-&-nicobar-islands,2019,1,1227596866.125
andaman-&-nicobar-islands,2019,2,1443056533.96875
andaman-&-nicobar-islands,2019,3,1368861344.4375
andaman-&-nicobar-islands,2019,4,1642062363.75
andaman-&-nicobar-islands,2020,1,1937715725.0625
andaman-&-nicobar-islands,2020,2,2035739942.25
andaman-&-nicobar-islands,2020,3,4056233309.25
andaman-&-nicobar-islands,2020,4,7527391713.0
andaman-&-nicobar-islands,2021,1,9404479125.0
andaman-&-nicobar-islands,2021,2,10789763826.0
andaman-&-nicobar-islands,2021,3,15720292027.5
andaman-&-nicobar-islands,2021,4,23191320450.0
andaman-&-nicobar-islands,2022,1,25548361680.0
andaman-&-nicobar-islands,2022,2,32231044693.5
andaman-&-nicobar-islands,2022,3,39727581669.0
andaman-&-nicobar-islands,2022,4,47816091543.0
andaman-&-nicobar-islands,2023,1,53538342432.0
andaman-&-nicobar-islands,2023,2,59884132992.0
andaman-&-nicobar-islands,2023,3,62539163292.0
andaman-&-nicobar-islands,2023,4,75234629736.0
andaman-&-nicobar-islands,2024,1,82309819608.0
andaman-&-nicobar-islands,2024,2,87549362064.0
andaman-&-nicobar-islands,2024,3,91966141992.0
andaman-&-nicobar-islands,2024,4,107051338344.0
andhra-pradesh,2018,1,143955314496.0
andhra-pradesh,2018,2,274606980672.0
andhra-pradesh,2018,3,428616524880.0
andhra-pradesh,2018,4,617685346992.0
andhra-pradesh,2019,1,1005127136256.0
andhra-pradesh,2019,2,1363614184032.0
andhra-pradesh,2019,3,1673375300448.0
andhra-pradesh,2019,4,2411379834192.0
andhra-pradesh,2020,1,3032846621904.0
andhra-pradesh,2020,2,3631004323872.0
andhra-pradesh,2020,3,5605009428096.0
andhra-pradesh,2020,4,7858098485376.0
andhra-pradesh,2021,1,8069336189568.0
andhra-pradesh,2021,2,10208850016512.0
andhra-pradesh,2021,3,11810616482688.0
andhra-pradesh,2021,4,13875173035008.0
andhra-pradesh,2022,1,15531847885440.0
andhra-pradesh,2022,2,17758248204672.0
andhra-pradesh,2022,3,16620928991808.0
andhra-pradesh,2022,4,17096701431744.0
andhra-pradesh,2023,1,26988616268928.0
andhra-pradesh,2023,2,30072468823296.0
andhra-pradesh,2023,3,31840969116288.0
andhra-pradesh,2023,4,33630178101120.0
andhra-pradesh,2024,1,36152707517568.0
andhra-pradesh,2024,2,38183070489984.0
andhra-pradesh,2024,3,38719747657344.0
andhra-pradesh,2024,4,41424187087488.0
arunachal-pradesh,2018,1,1108648000.640625
arunachal-pradesh,2018,2,2387642396.25
arunachal-pradesh,2018,3,3980716888.125
arunachal-pradesh,2018,4,6048480286.875
arunachal-pradesh,2019,1,7319401192.5
arunachal-pradesh,2019,2,9031870600.5
arunachal-pradesh,2019,3,10951740175.359375
arunachal-pradesh,2019,4,14286878469.75
arunachal-pradesh,2020,1,16581104567.25
arunachal-pradesh,2020,2,21920602465.5
arunachal-pradesh,2020,3,31319261607.0
arunachal-pradesh,2020,4,42843167043.0
arunachal-pradesh,2021,1,45765347652.0
arunachal-pradesh,2021,2,53477108616.0
arunachal-pradesh,2021,3,68137493028.0
arunachal-pradesh,2021,4,83322123639.0
arunachal-pradesh,2022,1,93937098069.0
arunachal-pradesh,2022,2,109579981188.0
arunachal-pradesh,2022,3,108301327893.0
arunachal-pradesh,2022,4,116218914666.0
arunachal-pradesh,2023,1,196734940056.0
arunachal-pradesh,2023,2,237668379780.0
arunachal-pradesh,2023,3,253528688784.0
arunachal-pradesh,2023,4,289545597816.0
arunachal-pradesh,2024,1,312564545304.0
arunachal-pradesh,2024,2,356476218900.0
arunachal-pradesh,2024,3,379223488632.0
arunachal-pradesh,2024,4,420958634928.0
assam,2018,1,13893653376.0
assam,2018,2,28207022238.0
assam,2018,3,45733619856.0
assam,2018,4,70656274230.0
assam,2019,1,96025196232.0
assam,2019,2,131459629614.0
assam,2019,3,155405320278.0
assam,2019,4,183383801220.0
assam,2020,1,248021137458.0
assam,2020,2,237195612144.0
assam,2020,3,357976683672.0
assam,2020,4,482719349640.0
assam,2021,1,615917550912.0
assam,2021,2,710309685408.0
assam,2021,3,908406016560.0
assam,2021,4,1250219660880.0
assam,2022,1,1587365254848.0
assam,2022,2,1837332491808.0
assam,2022,3,1937868919440.0
assam,2022,4,2311842216864.0
assam,2023,1,2548249970976.0
assam,2023,2,2821329425856.0
assam,2023,3,2928696224064.0
assam,2023,4,3427243672512.0
assam,2024,1,3854206865232.0
assam,2024,2,4143704063952.0
assam,2024,3,4002699735840.0
assam,2024,4,4593437007456.0
bihar,2018,1,72549097200.0
bihar,2018,2,162073578096.0
bihar,2018,3,241629648720.0
bihar,2018,4,340775968944.0
bihar,2019,1,498033945792.0
bihar,2019,2,757589236944.0
bihar,2019,3,812313374448.0
bihar,2019,4,1119761134320.0
bihar,2020,1,1311082210152.0
bihar,2020,2,1545678240816.0
bihar,2020,3,2079946391712.0
bihar,2020,4,2866867442784.0
bihar,2021,1,3371683726656.0
bihar,2021,2,4494963238752.0
bihar,2021,3,4764753340608.0
bihar,2021,4,6232459427712.0
bihar,2022,1,7336940306496.0
bihar,2022,2,9053537818752.0
bihar,2022,3,9497358025344.0
bihar,2022,4,11232145929408.0
bihar,2023,1,12471323297856.0
bihar,2023,2,14712561047232.0
bihar,2023,3,13777840445184.0
bihar,2023,4,17216830064448.0
bihar,2024,1,19652841811584.0
bihar,2024,2,22642159312512.0
bihar,2024,3,21363365452224.0
bihar,2024,4,25187130416640.0
chandigarh,2018,1,7361225019.0
chandigarh,2018,2,11534678769.0
chandigarh,2018,3,16432252807.5
chandigarh,2018,4,24391099540.5
chandigarh,2019,1,28752384803.25
chandigarh,2019,2,32317393430.25
chandigarh,2019,3,39236184644.25
chandigarh,2019,4,49830167000.25
chandigarh,2020,1,61517435361.0
chandigarh,2020,2,46164188565.0
chandigarh,2020,3,61077713304.0
chandigarh,2020,4,73761157578.0
chandigarh,2021,1,91157050164.0
chandigarh,2021,2,101012087280.0
chandigarh,2021,3,141790594032.0
chandigarh,2021,4,172482999600.0
chandigarh,2022,1,182099892036.0
chandigarh,2022,2,207402002076.0
chandigarh,2022,3,246717092544.0
chandigarh,2022,4,334557053976.0
chandigarh,2023,1,153898728900.0
chandigarh,2023,2,172972904736.0
chandigarh,2023,3,185121401112.0
chandigarh,2023,4,195374678676.0
chandigarh,2024,1,190106115228.0
chandigarh,2024,2,210682847544.0
chandigarh,2024,3,231111095856.0
chandigarh,2024,4,246016631784.0
chhattisgarh,2018,1,25789866630.0
chhattisgarh,2018,2,51170044776.0
chhattisgarh,2018,3,75627686196.0
chhattisgarh,2018,4,112996952760.0
chhattisgarh,2019,1,150534681534.0
chhattisgarh,2019,2,204028272858.0
chhattisgarh,2019,3,237639104040.0
chhattisgarh,2019,4,325725454128.0
chhattisgarh,2020,1,394327179804.0
chhattisgarh,2020,2,387220587408.0
chhattisgarh,2020,3,498320950320.0
